2019/1/26 星期六 11:29:17	正在初始化...已完成
2019/1/26 星期六 13:01:16	[任务2]实时余票为(1)张,继续提交...

2019/1/26 星期六 13:01:16	[任务4]当前无需验证码,开始提交订单...

2019/1/26 星期六 13:01:16	[任务5]快速出票安全期,等待2224ms

2019/1/26 星期六 13:01:19	[提交成功]等待处理,本次用时:2.99秒

2019/1/26 星期六 13:01:20	[获取结果]12306:没有足够的票!

2019/1/26 星期六 13:01:20	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/26 星期六 13:01:20	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 13:01:51	开始预订G1004次列车车票...

2019/1/26 星期六 13:01:51	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 13:01:51	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 13:01:52	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 13:01:52	[返回无票]该数据为缓存,将G1004车次放入小黑屋180秒...

2019/1/26 星期六 13:01:52	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 13:19:21	开始预订G76次列车车票...

2019/1/26 星期六 13:19:21	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 13:19:21	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 13:19:22	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 13:19:22	[返回无票]该数据为缓存,将G76车次放入小黑屋60秒...

2019/1/26 星期六 13:19:22	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 13:24:25	开始预订G76次列车车票...

2019/1/26 星期六 13:24:25	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 13:24:25	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 13:24:26	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 13:24:26	[返回无票]该数据为缓存,将G76车次放入小黑屋60秒...

2019/1/26 星期六 13:24:26	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 13:30:27	开始预订G1014次列车车票...

2019/1/26 星期六 13:30:27	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 13:30:27	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 13:30:28	[任务2]实时余票为(1)张,继续提交...

2019/1/26 星期六 13:30:28	[任务4]当前无需验证码,开始提交订单...

2019/1/26 星期六 13:30:28	[任务5]快速出票安全期,等待2564ms

2019/1/26 星期六 13:30:31	[任务5]余票不足！

2019/1/26 星期六 13:30:31	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/26 星期六 13:30:31	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 13:35:31	开始预订G1014次列车车票...

2019/1/26 星期六 13:35:31	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 13:35:31	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 13:35:32	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 13:35:32	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/26 星期六 13:35:32	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 13:38:50	开始预订G1028次列车车票...

2019/1/26 星期六 13:38:50	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 13:38:50	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 13:38:50	[任务2]实时余票为(1)张,继续提交...

2019/1/26 星期六 13:38:50	[任务4]当前无需验证码,开始提交订单...

2019/1/26 星期六 13:38:50	[任务5]快速出票安全期,等待1871ms

2019/1/26 星期六 13:38:53	[提交成功]等待处理,本次用时:2.41秒

2019/1/26 星期六 13:38:54	[获取结果]12306:没有足够的票!

2019/1/26 星期六 13:38:54	[返回无票]该数据为缓存,将G1028车次放入小黑屋60秒...

2019/1/26 星期六 13:38:54	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 13:40:06	开始预订G76次列车车票...

2019/1/26 星期六 13:40:06	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 13:40:06	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 13:40:07	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 13:40:07	[返回无票]该数据为缓存,将G76车次放入小黑屋60秒...

2019/1/26 星期六 13:40:07	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 13:40:08	开始预订G1028次列车车票...

2019/1/26 星期六 13:40:08	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 13:40:08	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 13:40:08	[任务3]12306系统忙,自动重试

2019/1/26 星期六 13:40:08	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 13:41:27	开始预订G1028次列车车票...

2019/1/26 星期六 13:41:27	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 13:41:27	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 13:41:28	[任务2]实时余票为(1)张,继续提交...

2019/1/26 星期六 13:41:28	[任务4]当前无需验证码,开始提交订单...

2019/1/26 星期六 13:41:28	[任务5]快速出票安全期,等待2583ms

2019/1/26 星期六 13:41:31	[提交成功]等待处理,本次用时:4.18秒

2019/1/26 星期六 13:41:33	[获取结果]12306:没有足够的票!

2019/1/26 星期六 13:41:33	[返回无票]该数据为缓存,将G1028车次放入小黑屋60秒...

2019/1/26 星期六 13:41:33	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 14:00:23	链接12306服务器速度:892毫秒[差]

2019/1/26 星期六 14:52:04	开始预订G554次列车车票...

2019/1/26 星期六 14:52:04	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 14:52:04	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 14:52:05	[任务2]实时余票为(1)张,继续提交...

2019/1/26 星期六 14:52:05	[任务4]当前无需验证码,开始提交订单...

2019/1/26 星期六 14:52:05	[任务5]快速出票安全期,等待3416ms

2019/1/26 星期六 14:52:08	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/26 星期六 14:52:08	[返回无票]该数据为缓存,将G554车次放入小黑屋60秒...

2019/1/26 星期六 14:52:09	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 14:53:20	开始预订G554次列车车票...

2019/1/26 星期六 14:53:20	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 14:53:20	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 14:53:21	[任务2]实时余票为(1)张,继续提交...

2019/1/26 星期六 14:53:21	[任务4]当前无需验证码,开始提交订单...

2019/1/26 星期六 14:53:21	[任务5]快速出票安全期,等待2712ms

2019/1/26 星期六 14:53:24	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/26 星期六 14:53:24	[返回无票]该数据为缓存,将G554车次放入小黑屋60秒...

2019/1/26 星期六 14:53:24	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 14:59:35	开始预订G554次列车车票...

2019/1/26 星期六 14:59:35	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 14:59:35	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 14:59:36	[任务2]实时余票为(1)张,继续提交...

2019/1/26 星期六 14:59:36	[任务4]当前无需验证码,开始提交订单...

2019/1/26 星期六 14:59:36	[任务5]快速出票安全期,等待2251ms

2019/1/26 星期六 14:59:38	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/26 星期六 14:59:38	[返回无票]该数据为缓存,将G554车次放入小黑屋60秒...

2019/1/26 星期六 14:59:38	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 15:22:02	开始预订G1018次列车车票...

2019/1/26 星期六 15:22:02	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 15:22:02	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 15:22:02	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 15:22:02	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/26 星期六 15:22:03	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 15:23:19	开始预订G1012次列车车票...

2019/1/26 星期六 15:23:19	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 15:23:19	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 15:23:20	[任务2]实时余票为(2)张,继续提交...

2019/1/26 星期六 15:23:20	[任务4]当前无需验证码,开始提交订单...

2019/1/26 星期六 15:23:20	[任务5]快速出票安全期,等待3291ms

2019/1/26 星期六 15:23:23	[提交成功]等待处理,本次用时:4.81秒

2019/1/26 星期六 15:23:25	[获取结果]12306:尊敬的旅客，您的证件-黄钟鼎(421122198805026339)已订车票与本次购票行程冲突，请将已购车票办理改签，或办理退票后重新购票；如您确认此身份信息被他人冒用，请点击“网上举报”并确认后，可以继续购票。谢谢您的合作。

2019/1/26 星期六 15:23:25	[待处理]已停止任务,等待用户处理

2019/1/26 星期六 15:23:35	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 15:23:47	开始预订G1012次列车车票...

2019/1/26 星期六 15:23:47	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 15:23:47	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 15:23:47	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 15:23:47	[返回无票]该数据为缓存,将G1012车次放入小黑屋60秒...

2019/1/26 星期六 15:23:47	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 15:23:59	[多日期]多日期为循环查询，每次查询一个日期。日期越多，每个日期再次查询的间隔越久，如需设置，请尽量少的添加！

2019/1/26 星期六 15:24:03	查询完毕,本次查询共用时:347毫秒

2019/1/26 星期六 15:24:04	结束车票查询

2019/1/26 星期六 15:24:07	查询完毕,本次查询共用时:828毫秒

2019/1/26 星期六 15:24:14	查询完毕,本次查询共用时:1403毫秒

2019/1/26 星期六 15:24:24	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/26 星期六 15:50:23	链接12306服务器速度:237毫秒[优]

2019/1/26 星期六 15:57:04	开始预订G554次列车车票...

2019/1/26 星期六 15:57:04	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 15:57:04	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 15:57:05	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 15:57:05	[返回无票]该数据为缓存,将G554车次放入小黑屋60秒...

2019/1/26 星期六 15:57:05	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/26 星期六 19:13:20	开始预订G1014次列车车票...

2019/1/26 星期六 19:13:20	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 19:13:20	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 19:13:21	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 19:13:21	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/26 星期六 19:13:21	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/26 星期六 20:11:54	开始预订Z230次列车车票...

2019/1/26 星期六 20:11:54	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 20:11:54	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 20:11:56	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 20:11:56	[返回无票]该数据为缓存,将Z230车次放入小黑屋60秒...

2019/1/26 星期六 20:11:56	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/26 星期六 20:12:56	开始预订Z230次列车车票...

2019/1/26 星期六 20:12:56	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 20:12:56	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 20:12:56	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 20:12:57	[返回无票]该数据为缓存,将Z230车次放入小黑屋60秒...

2019/1/26 星期六 20:12:57	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/26 星期六 20:16:24	开始预订G1018次列车车票...

2019/1/26 星期六 20:16:24	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 20:16:24	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 20:16:24	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 20:16:25	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/26 星期六 20:16:25	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/26 星期六 20:17:27	开始预订G1018次列车车票...

2019/1/26 星期六 20:17:27	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 20:17:27	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 20:17:27	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 20:17:27	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/26 星期六 20:17:27	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/26 星期六 20:19:20	开始预订G1018次列车车票...

2019/1/26 星期六 20:19:20	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 20:19:20	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 20:19:20	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 20:19:21	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/26 星期六 20:19:21	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/26 星期六 20:21:30	开始预订G1018次列车车票...

2019/1/26 星期六 20:21:30	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 20:21:30	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 20:21:30	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 20:21:30	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/26 星期六 20:21:30	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/26 星期六 20:23:20	开始预订G1018次列车车票...

2019/1/26 星期六 20:23:20	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 20:23:20	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 20:23:21	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 20:23:21	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/26 星期六 20:23:21	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/26 星期六 20:24:28	开始预订G1018次列车车票...

2019/1/26 星期六 20:24:28	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 20:24:28	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 20:24:30	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 20:24:30	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/26 星期六 20:24:30	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

