2019/1/18 星期五 11:35:46	正在初始化...已完成
2019/1/18 星期五 12:52:19	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 12:52:19	[返回无票]该数据为缓存,将G1020车次放入小黑屋240秒...

2019/1/18 星期五 12:52:19	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:52:59	开始预订G1014次列车车票...

2019/1/18 星期五 12:52:59	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:52:59	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:53:00	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 12:53:00	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 12:53:00	[任务5]快速出票安全期,等待2778ms

2019/1/18 星期五 12:53:03	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/18 星期五 12:53:03	[返回无票]该数据为缓存,将G1014车次放入小黑屋120秒...

2019/1/18 星期五 12:53:03	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:53:14	开始预订G1010次列车车票...

2019/1/18 星期五 12:53:14	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:53:14	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:53:14	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 12:53:14	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 12:53:14	[任务5]快速出票安全期,等待3486ms

2019/1/18 星期五 12:53:18	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/18 星期五 12:53:18	[返回无票]该数据为缓存,将G1010车次放入小黑屋120秒...

2019/1/18 星期五 12:53:18	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:55:22	开始预订G1022次列车车票...

2019/1/18 星期五 12:55:22	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:55:22	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:55:22	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 12:55:22	[返回无票]该数据为缓存,将G1022车次放入小黑屋120秒...

2019/1/18 星期五 12:55:22	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:55:31	开始预订K4240次列车车票...

2019/1/18 星期五 12:55:31	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:55:31	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:55:31	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 12:55:31	[返回无票]该数据为缓存,将K4240车次放入小黑屋60秒...

2019/1/18 星期五 12:55:31	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:55:40	开始预订G1010次列车车票...

2019/1/18 星期五 12:55:40	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:55:40	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:55:40	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 12:55:40	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 12:55:40	[任务5]快速出票安全期,等待2485ms

2019/1/18 星期五 12:55:43	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/18 星期五 12:55:43	[返回无票]该数据为缓存,将G1010车次放入小黑屋180秒...

2019/1/18 星期五 12:55:43	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:55:46	开始预订Z230次列车车票...

2019/1/18 星期五 12:55:46	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:55:46	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:55:47	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 12:55:47	[返回无票]该数据为缓存,将Z230车次放入小黑屋60秒...

2019/1/18 星期五 12:55:47	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:57:18	开始预订G1020次列车车票...

2019/1/18 星期五 12:57:18	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:57:18	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:57:19	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 12:57:19	[返回无票]该数据为缓存,将G1020车次放入小黑屋300秒...

2019/1/18 星期五 12:57:19	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 13:05:15	开始预订G532次列车车票...

2019/1/18 星期五 13:05:15	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 13:05:15	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 13:05:16	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 13:05:16	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 13:05:16	[任务5]快速出票安全期,等待2349ms

2019/1/18 星期五 13:05:18	[提交成功]等待处理,本次用时:3.35秒

2019/1/18 星期五 13:05:20	[获取结果]12306:没有足够的票!

2019/1/18 星期五 13:05:20	[返回无票]该数据为缓存,将G532车次放入小黑屋60秒...

2019/1/18 星期五 13:05:20	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 13:08:20	开始预订G532次列车车票...

2019/1/18 星期五 13:08:20	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 13:08:20	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 13:08:20	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 13:08:21	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 13:08:21	[任务5]快速出票安全期,等待3272ms

2019/1/18 星期五 13:08:24	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/18 星期五 13:08:24	[返回无票]该数据为缓存,将G532车次放入小黑屋60秒...

2019/1/18 星期五 13:08:24	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 13:09:30	开始预订G532次列车车票...

2019/1/18 星期五 13:09:30	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 13:09:30	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 13:09:31	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 13:09:31	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 13:09:31	[任务5]快速出票安全期,等待2042ms

2019/1/18 星期五 13:09:33	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/18 星期五 13:09:33	[返回无票]该数据为缓存,将G532车次放入小黑屋60秒...

2019/1/18 星期五 13:09:33	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 13:11:12	开始预订G532次列车车票...

2019/1/18 星期五 13:11:12	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 13:11:12	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 13:11:13	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 13:11:13	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 13:11:13	[任务5]快速出票安全期,等待2391ms

2019/1/18 星期五 13:11:16	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/18 星期五 13:11:16	[返回无票]该数据为缓存,将G532车次放入小黑屋60秒...

2019/1/18 星期五 13:11:16	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 13:27:57	开始预订T96次列车车票...

2019/1/18 星期五 13:27:57	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 13:27:57	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 13:27:58	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 13:27:58	[返回无票]该数据为缓存,将T96车次放入小黑屋60秒...

2019/1/18 星期五 13:27:58	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 13:29:34	开始预订T96次列车车票...

2019/1/18 星期五 13:29:34	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 13:29:34	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 13:29:37	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 13:29:37	[返回无票]该数据为缓存,将T96车次放入小黑屋60秒...

2019/1/18 星期五 13:29:37	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 13:31:25	开始预订T96次列车车票...

2019/1/18 星期五 13:31:25	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 13:31:25	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 13:31:26	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 13:31:26	[返回无票]该数据为缓存,将T96车次放入小黑屋60秒...

2019/1/18 星期五 13:31:26	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 13:32:41	开始预订T96次列车车票...

2019/1/18 星期五 13:32:41	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 13:32:41	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 13:32:41	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 13:32:41	[返回无票]该数据为缓存,将T96车次放入小黑屋60秒...

2019/1/18 星期五 13:32:41	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 13:33:44	开始预订T96次列车车票...

2019/1/18 星期五 13:33:44	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 13:33:44	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 13:33:44	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 13:33:44	[返回无票]该数据为缓存,将T96车次放入小黑屋60秒...

2019/1/18 星期五 13:33:44	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 13:34:47	开始预订T96次列车车票...

2019/1/18 星期五 13:34:47	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 13:34:47	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 13:34:48	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 13:34:48	[返回无票]该数据为缓存,将T96车次放入小黑屋60秒...

2019/1/18 星期五 13:34:48	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 13:36:15	开始预订T96次列车车票...

2019/1/18 星期五 13:36:15	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 13:36:15	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 13:36:15	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 13:36:15	[返回无票]该数据为缓存,将T96车次放入小黑屋60秒...

2019/1/18 星期五 13:36:15	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 13:53:55	开始预订G1008次列车车票...

2019/1/18 星期五 13:53:55	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 13:53:55	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 13:53:57	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 13:53:57	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 13:53:57	[任务5]快速出票安全期,等待2226ms

2019/1/18 星期五 13:54:00	[提交成功]等待处理,本次用时:4.68秒

2019/1/18 星期五 13:54:02	[获取结果]12306:没有足够的票!

2019/1/18 星期五 13:54:02	[返回无票]该数据为缓存,将G1008车次放入小黑屋60秒...

2019/1/18 星期五 13:54:02	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 13:55:42	开始预订G1008次列车车票...

2019/1/18 星期五 13:55:42	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 13:55:42	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 13:55:43	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 13:55:43	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 13:55:43	[任务5]快速出票安全期,等待3763ms

2019/1/18 星期五 13:55:47	[提交成功]等待处理,本次用时:4.64秒

2019/1/18 星期五 13:55:49	[获取结果]12306:没有足够的票!

2019/1/18 星期五 13:55:49	[返回无票]该数据为缓存,将G1008车次放入小黑屋60秒...

2019/1/18 星期五 13:55:49	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 13:57:01	开始预订G1018次列车车票...

2019/1/18 星期五 13:57:01	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 13:57:01	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 13:57:02	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 13:57:02	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 13:57:02	[任务5]快速出票安全期,等待2673ms

2019/1/18 星期五 13:57:05	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/18 星期五 13:57:05	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/18 星期五 13:57:05	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 13:57:13	开始预订G1004次列车车票...

2019/1/18 星期五 13:57:13	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 13:57:13	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 13:57:14	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 13:57:14	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 13:57:14	[任务5]快速出票安全期,等待2494ms

2019/1/18 星期五 13:57:17	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/18 星期五 13:57:17	[返回无票]该数据为缓存,将G1004车次放入小黑屋60秒...

2019/1/18 星期五 13:57:17	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 13:57:38	开始预订K4176次列车车票...

2019/1/18 星期五 13:57:38	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 13:57:38	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 13:57:38	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 13:57:38	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 13:57:38	[任务5]快速出票安全期,等待1851ms

2019/1/18 星期五 13:57:40	[提交成功]等待处理,本次用时:2.63秒

2019/1/18 星期五 13:57:42	[订票成功]返回订单号:E730231058

2019/1/18 星期五 13:57:42	[锁定订单]坐席为系统分配,已完成锁定

2019/1/18 星期五 13:57:42	[12306Bypass]: 恭喜,抢票成功!信息如下:乘客:黄钟鼎,日期:2019-02-03,车次:K4176,地点:深圳东15:50-武昌09:47,席别:软座,更多信息请查询未付款订单...

2019/1/18 星期五 13:58:44	查询完毕,本次查询共用时:858毫秒

2019/1/18 星期五 13:58:55	开始查询2019-02-02;2019-01-31;2019-01-30车次，间隔：默认

2019/1/18 星期五 13:59:28	开始预订G1006次列车车票...

2019/1/18 星期五 13:59:28	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 13:59:28	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 13:59:31	[订票成功]返回订单号:E730231058

2019/1/18 星期五 13:59:31	[锁定订单]坐席为系统分配,已完成锁定

2019/1/18 星期五 13:59:31	[12306Bypass]: 恭喜,抢票成功!信息如下:乘客:黄钟鼎,日期:2019-02-03,车次:K4176,地点:深圳东15:50-武昌09:47,席别:软座,更多信息请查询未付款订单...

2019/1/18 星期五 14:00:28	开始查询2019-02-02;2019-01-31;2019-01-30车次，间隔：默认

2019/1/18 星期五 14:01:08	开始预订G1006次列车车票...

2019/1/18 星期五 14:01:08	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 14:01:08	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 14:01:09	该用户已在其他地点登录或被踢出，正在重新登录...

2019/1/18 星期五 14:01:26	[自动登录]登录成功

2019/1/18 星期五 14:01:26	[普通]线程启动完成,开始解析算法...

2019/1/18 星期五 14:01:26	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 14:01:27	[任务2]申请订单成功,开始获取令牌...

2019/1/18 星期五 14:01:27	[任务3]令牌获取完成,开始效验订单...

2019/1/18 星期五 14:01:28	[任务4]实时余票为(2)张,继续提交...

2019/1/18 星期五 14:01:28	[任务5]当前无需验证码,开始提交订单...

2019/1/18 星期五 14:01:28	[任务5]快速出票安全期,等待1768ms

2019/1/18 星期五 14:01:31	[任务7]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/18 星期五 14:01:31	[返回无票]该数据为缓存,将G1006车次放入小黑屋60秒...

2019/1/18 星期五 14:01:31	开始查询2019-02-02;2019-01-31;2019-01-30车次，间隔：默认

2019/1/18 星期五 14:04:23	开始预订G1006次列车车票...

2019/1/18 星期五 14:04:23	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 14:04:23	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 14:04:24	[任务2]实时余票为(2)张,继续提交...

2019/1/18 星期五 14:04:24	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 14:04:24	[任务5]快速出票安全期,等待2110ms

2019/1/18 星期五 14:04:27	[提交成功]等待处理,本次用时:4.47秒

2019/1/18 星期五 14:04:29	[获取结果]12306:没有足够的票!

2019/1/18 星期五 14:04:29	[返回无票]该数据为缓存,将G1006车次放入小黑屋60秒...

2019/1/18 星期五 14:04:29	开始查询2019-02-02;2019-01-31;2019-01-30车次，间隔：默认

2019/1/18 星期五 14:04:54	开始预订G1022次列车车票...

2019/1/18 星期五 14:04:54	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 14:04:54	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 14:04:55	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 14:04:55	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 14:04:55	[任务5]快速出票安全期,等待3260ms

2019/1/18 星期五 14:04:58	[提交成功]等待处理,本次用时:3.74秒

2019/1/18 星期五 14:05:00	[获取结果]12306:没有足够的票!

2019/1/18 星期五 14:05:00	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/18 星期五 14:05:00	开始查询2019-02-02;2019-01-31;2019-01-30车次，间隔：默认

2019/1/18 星期五 14:15:19	开始预订G1014次列车车票...

2019/1/18 星期五 14:15:19	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 14:15:19	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 14:15:20	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 14:15:20	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/18 星期五 14:15:20	开始查询2019-02-02;2019-01-31;2019-01-30车次，间隔：默认

2019/1/18 星期五 14:18:12	开始预订G1014次列车车票...

2019/1/18 星期五 14:18:12	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 14:18:12	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 14:18:15	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 14:18:15	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/18 星期五 14:18:15	开始查询2019-02-02;2019-01-31;2019-01-30车次，间隔：默认

2019/1/18 星期五 14:20:09	开始预订G1014次列车车票...

2019/1/18 星期五 14:20:09	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 14:20:09	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 14:20:10	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 14:20:10	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/18 星期五 14:20:10	开始查询2019-02-02;2019-01-31;2019-01-30车次，间隔：默认

2019/1/18 星期五 14:22:07	开始预订G1014次列车车票...

2019/1/18 星期五 14:22:07	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 14:22:07	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 14:22:08	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 14:22:08	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/18 星期五 14:22:08	开始查询2019-02-02;2019-01-31;2019-01-30车次，间隔：默认

2019/1/18 星期五 15:42:43	开始预订G1020次列车车票...

2019/1/18 星期五 15:42:43	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 15:42:43	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 15:42:44	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 15:42:44	[返回无票]该数据为缓存,将G1020车次放入小黑屋60秒...

2019/1/18 星期五 15:42:44	开始查询2019-02-02;2019-01-31;2019-01-30车次，间隔：默认

2019/1/18 星期五 15:42:56	开始预订G1022次列车车票...

2019/1/18 星期五 15:42:56	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 15:42:56	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 15:42:57	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 15:42:57	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 15:42:57	[任务5]快速出票安全期,等待2779ms

2019/1/18 星期五 15:43:00	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/18 星期五 15:43:00	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/18 星期五 15:43:00	开始查询2019-02-02;2019-01-31;2019-01-30车次，间隔：默认

2019/1/18 星期五 15:44:44	开始预订G1022次列车车票...

2019/1/18 星期五 15:44:44	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 15:44:44	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 15:44:44	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 15:44:44	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 15:44:44	[任务5]快速出票安全期,等待3150ms

2019/1/18 星期五 15:44:48	[提交成功]等待处理,本次用时:4.11秒

2019/1/18 星期五 15:44:51	[获取结果]12306:没有足够的票!

2019/1/18 星期五 15:44:51	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/18 星期五 15:44:51	开始查询2019-02-02;2019-01-31;2019-01-30车次，间隔：默认

2019/1/18 星期五 15:46:01	开始预订G1010次列车车票...

2019/1/18 星期五 15:46:01	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 15:46:01	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 15:46:02	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 15:46:02	[返回无票]该数据为缓存,将G1010车次放入小黑屋60秒...

2019/1/18 星期五 15:46:02	开始查询2019-02-02;2019-01-31;2019-01-30车次，间隔：默认

2019/1/18 星期五 15:46:18	开始预订G1020次列车车票...

2019/1/18 星期五 15:46:18	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 15:46:18	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 15:46:20	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 15:46:20	[返回无票]该数据为缓存,将G1020车次放入小黑屋60秒...

2019/1/18 星期五 15:46:20	开始查询2019-02-02;2019-01-31;2019-01-30车次，间隔：默认

2019/1/18 星期五 15:46:52	开始预订G1022次列车车票...

2019/1/18 星期五 15:46:52	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 15:46:52	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 15:46:53	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 15:46:53	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 15:46:53	[任务5]快速出票安全期,等待1816ms

2019/1/18 星期五 15:46:55	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/18 星期五 15:46:55	[返回无票]该数据为缓存,将G1022车次放入小黑屋120秒...

2019/1/18 星期五 15:46:55	开始查询2019-02-02;2019-01-31;2019-01-30车次，间隔：默认

2019/1/18 星期五 15:47:45	开始预订G1010次列车车票...

2019/1/18 星期五 15:47:45	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 15:47:45	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 15:47:46	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 15:47:46	[返回无票]该数据为缓存,将G1010车次放入小黑屋60秒...

2019/1/18 星期五 15:47:46	开始查询2019-02-02;2019-01-31;2019-01-30车次，间隔：默认

2019/1/18 星期五 15:48:15	开始预订G1020次列车车票...

2019/1/18 星期五 15:48:15	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 15:48:15	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 15:48:15	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 15:48:15	[返回无票]该数据为缓存,将G1020车次放入小黑屋60秒...

2019/1/18 星期五 15:48:16	开始查询2019-02-02;2019-01-31;2019-01-30车次，间隔：默认

2019/1/18 星期五 15:48:29	开始预订K4062次列车车票...

2019/1/18 星期五 15:48:29	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 15:48:29	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 15:48:30	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 15:48:30	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 15:48:30	[任务5]快速出票安全期,等待2857ms

2019/1/18 星期五 15:48:33	[提交成功]等待处理,本次用时:3.93秒

2019/1/18 星期五 15:48:35	[获取结果]12306:没有足够的票!

2019/1/18 星期五 15:48:35	[返回无票]该数据为缓存,将K4062车次放入小黑屋60秒...

2019/1/18 星期五 15:48:35	开始查询2019-02-02;2019-01-31;2019-01-30车次，间隔：默认

2019/1/18 星期五 15:49:07	开始预订G1010次列车车票...

2019/1/18 星期五 15:49:07	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 15:49:07	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 15:49:08	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 15:49:08	[返回无票]该数据为缓存,将G1010车次放入小黑屋60秒...

2019/1/18 星期五 15:49:08	开始查询2019-02-02;2019-01-31;2019-01-30车次，间隔：默认

2019/1/18 星期五 15:53:21	开始预订K4062次列车车票...

2019/1/18 星期五 15:53:21	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 15:53:21	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 15:53:22	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 15:53:22	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 15:53:22	[任务5]快速出票安全期,等待3423ms

2019/1/18 星期五 15:53:26	[提交成功]等待处理,本次用时:4.70秒

2019/1/18 星期五 15:53:30	[订票成功]返回订单号:E711634007

2019/1/18 星期五 15:53:30	[锁定订单]坐席为系统分配,已完成锁定

2019/1/18 星期五 15:53:30	[12306Bypass]: 恭喜,抢票成功!信息如下:乘客:黄钟鼎,日期:2019-02-02,车次:K4062,地点:深圳东08:35-汉口00:54,席别:软座,更多信息请查询未付款订单...

2019/1/18 星期五 15:54:59	[多日期]每多一个日期将多查询一次，频率过快，容易被限制，不建议设置多个日期，如非要设置，请尽量少的添加！

2019/1/18 星期五 15:55:10	查询完毕,本次查询共用时:2889毫秒

2019/1/18 星期五 15:55:20	查询完毕,本次查询共用时:8407毫秒

