2019/1/20 星期日 12:34:07	正在初始化...已完成

2019/1/20 星期日 17:08:10	开始预订Z24次列车车票...

2019/1/20 星期日 17:08:10	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 17:08:10	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 17:08:10	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 17:08:10	[返回无票]该数据为缓存,将Z24车次放入小黑屋60秒...

2019/1/20 星期日 17:08:11	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/20 星期日 17:09:24	开始预订Z24次列车车票...

2019/1/20 星期日 17:09:24	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 17:09:24	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 17:09:25	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 17:09:25	[返回无票]该数据为缓存,将Z24车次放入小黑屋60秒...

2019/1/20 星期日 17:09:25	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/20 星期日 17:10:41	开始预订Z24次列车车票...

2019/1/20 星期日 17:10:41	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 17:10:41	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 17:10:42	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 17:10:42	[返回无票]该数据为缓存,将Z24车次放入小黑屋60秒...

2019/1/20 星期日 17:10:42	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/20 星期日 17:16:21	开始预订G1014次列车车票...

2019/1/20 星期日 17:16:21	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 17:16:21	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 17:16:21	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 17:16:21	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/20 星期日 17:16:21	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/20 星期日 17:17:56	开始预订G1014次列车车票...

2019/1/20 星期日 17:17:56	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 17:17:56	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 17:17:57	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 17:17:57	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/20 星期日 17:17:57	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/20 星期日 17:18:18	开始预订G1036次列车车票...

2019/1/20 星期日 17:18:18	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 17:18:18	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 17:18:19	[任务2]实时余票为(1)张,继续提交...

2019/1/20 星期日 17:18:19	[任务4]当前无需验证码,开始提交订单...

2019/1/20 星期日 17:18:19	[任务5]快速出票安全期,等待2388ms

2019/1/20 星期日 17:18:21	[提交成功]等待处理,本次用时:3.12秒

2019/1/20 星期日 17:18:23	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:18:25	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:18:26	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:18:29	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:18:31	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:18:34	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:18:36	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:18:38	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:18:40	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:18:41	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:18:44	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:18:47	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:18:49	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:18:52	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:18:55	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:18:58	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:18:59	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:19:02	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:19:05	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:19:08	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:19:10	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:19:13	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:19:16	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:19:18	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:19:19	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:19:21	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:19:24	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:19:26	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:19:28	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:19:31	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:19:33	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:19:35	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:19:37	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:19:39	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:19:41	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:19:43	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:19:45	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:19:47	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:19:50	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:19:51	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:19:54	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:19:56	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:19:58	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:00	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:03	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:05	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:07	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:08	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:11	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:14	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:17	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:19	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:21	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:24	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:26	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:28	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:30	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:31	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:33	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:35	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:36	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:39	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:40	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:43	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:44	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:48	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:50	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:52	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:54	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:56	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:20:58	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:00	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:01	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:03	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:05	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:06	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:09	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:11	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:12	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:15	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:18	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:20	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:23	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:26	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:28	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:29	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:31	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:33	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:34	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:36	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:39	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:40	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:42	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:44	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:46	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:47	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:49	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:52	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:53	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:55	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:21:57	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:00	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:01	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:05	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:06	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:08	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:10	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:11	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:13	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:15	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:16	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:18	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:20	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:21	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:24	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:26	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:28	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:30	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:31	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:34	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:35	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:37	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:39	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:41	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:42	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:44	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:46	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:48	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:50	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:52	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:53	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:56	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:22:59	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:00	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:02	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:05	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:06	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:08	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:10	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:11	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:13	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:15	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:16	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:18	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:20	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:21	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:23	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:25	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:26	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:28	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:30	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:31	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:33	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:35	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:37	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:38	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:40	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:42	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:43	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:45	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:47	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:48	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:50	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:52	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:53	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:55	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:57	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:23:58	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:00	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:02	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:03	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:05	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:07	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:08	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:10	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:12	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:13	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:15	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:17	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:18	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:20	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:22	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:23	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:25	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:27	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:28	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:30	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:32	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:33	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:35	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:37	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:38	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:40	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:42	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:43	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:45	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:47	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:48	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:50	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:52	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:54	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:55	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:57	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:24:59	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:00	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:02	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:04	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:05	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:07	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:09	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:10	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:12	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:14	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:15	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:17	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:19	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:20	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:22	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:24	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:25	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:27	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:29	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:30	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:32	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:34	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:36	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:37	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:39	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:41	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:42	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:44	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:46	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:48	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:50	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:51	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:53	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:55	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:56	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:25:58	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:00	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:01	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:03	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:05	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:06	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:08	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:10	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:12	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:13	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:15	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:17	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:18	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:20	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:22	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:24	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:26	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:27	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:29	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:31	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:32	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:34	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:36	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:38	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:40	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:41	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:43	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:45	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:46	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:48	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:50	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:52	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:54	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:55	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:57	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:26:59	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:27:00	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:27:02	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:27:04	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:27:05	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:27:07	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:27:09	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:27:11	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:27:12	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:27:14	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:27:16	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:27:17	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:27:19	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:27:21	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:27:22	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:27:24	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:27:26	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:27:27	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:27:29	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:27:31	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:27:32	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 17:27:34	[12306]服务器处理中，正在排队，请耐心等待...

